contractId,description,category,status,progress,region,province,latitude,longitude,startDate,completionDate,infraYear,programName,sourceOfFunds,budget,amountPaid,contractorId,image_folder_path,downloaded_image_count,date_00_pre_start,date_25_progress,date_50_progress,date_75_progress,date_100_completed,date_post_completion,osm_mask_path,delta_00_to_25,delta_25_to_50,delta_50_to_75,delta_75_to_10,delta_10_to_po,construction_cluster
20d00015,"fy 2020 dpwh infrastructure program organizational outcome 1:ensure safe and reliable national road system network development program construction of by-pass and diversion roads carmona-silang diversion road (via sugar road-davilan-maguyam road), cavite",roads,completed,100.0,Region IV-A,Region IV-A,14.2721361,121.0253117,2020-02-24,2021-12-10,2020,regular infra,regular infra - gaa 2020 oo-1,96499889.83,0,35843,data/images/20d00015,6,2020-01-25,2020-08-05,2021-01-16,2021-06-29,2021-12-10,2022-01-09,data/images/20d00015/20d00015_road_mask.png,0.0660492107272148,0.0743117704987526,0.151122897863388,0.174488365650177,0.0515610799193382,2.0
22cb0092,"construction/ improvement of access roads leading to declared tourism destinations - improvement of road leading to mt. samal national shrine project, bataan",roads,completed,100.0,Region III,Bataan 2nd DEO,14.6230441,120.5014487,2022-05-20,2023-10-20,2022,regular infra,regular infra - gaa 2022 cssp,96500000.0,0,49243,data/images/22cb0092,6,2022-04-20,2022-09-26,2023-02-03,2023-06-12,2023-10-20,2023-11-19,data/images/22cb0092/22cb0092_road_mask.png,0.1061035543680191,0.0726138949394226,0.0922662690281868,0.0747740864753723,0.1959496587514877,0.0
20dq0048,"local program - construction / repair / rehabilitation / improvement of various infrastructure including local projects - local roads and bridges - local roads - construction/ repair/ rehabilitation/ road widening of don placido campos ave. dasmariñas, ca",roads,completed,100.0,Region IV-A,Cavite 3rd DEO,14.3438222,120.9261111,2020-02-27,2021-05-14,2020,regular infra,regular infra - gaa 2020 lp,48247737.96,0,28091,data/images/20dq0048,6,2020-01-28,2020-06-16,2020-10-05,2021-01-23,2021-05-14,2021-06-13,data/images/20dq0048/20dq0048_road_mask.png,0.0796559080481529,0.0553728155791759,0.1806844472885131,0.1951027363538742,0.0700378268957138,2.0
24je0039,"sustainable infrastructure projects alleviating gaps (sipag) construction of road, brgy. parasan, molave, zamboanga del sur",roads,completed,100.0,Region IX,Zamboanga del Sur 1st DEO,8.1255183,123.4828261,2024-03-19,2025-03-31,2024,regular infra,regular infra - gaa 2024 ssp,14459849.96,0,41172,data/images/24je0039,6,2024-02-18,2024-06-21,2024-09-23,2024-12-26,2025-03-31,2025-04-30,data/images/24je0039/24je0039_road_mask.png,0.1253422200679779,0.1394121497869491,0.0635308846831321,0.0436849258840084,0.031104952096939,1.0
20k00020,"construction of by-pass and diversion roads, sayre highway parallel road ii (manolo fortich - valencia city section), package 19, bukidnon",roads,completed,100.0,Region X,Region X,8.2441444,125.0677639,2020-05-29,2021-09-26,2020,regular infra,regular infra - gaa 2020 oo-1,136104548.47,0,6506,data/images/20k00020,6,2020-04-29,2020-09-27,2021-01-26,2021-05-27,2021-09-26,2021-10-26,data/images/20k00020/20k00020_road_mask.png,0.0564545877277851,0.0763379782438278,0.0709644556045532,0.0431011207401752,0.0368280261754989,2.0
21c00106,"convergence and special support program-special road fund-motor vehicle user's charge (mvuc) as per r.a. 11239, construction/installation of street lights along roman expressway, hermosa, orani and samal, bataan, province of bataan",roads,completed,100.0,Region III,Region III,14.818992,120.4850115,2022-03-24,2023-08-13,2021,regular infra,regular infra - gaa 2021 cssp,96479296.17,0,23869,data/images/21c00106,6,2022-02-22,2022-07-28,2022-12-02,2023-04-08,2023-08-13,2023-09-12,data/images/21c00106/21c00106_road_mask.png,0.0765436291694641,0.1183738484978675,0.1227820813655853,0.0988660305738449,0.042896494269371,2.0
19gm0017,"construction of concrete road - access road leading to kabankalan airport, kabankalan city, negros occidental",roads,completed,100.0,Negros Island Region,Negros Occidental 3rd DEO,9.9817273,122.8253297,2019-07-22,2021-01-27,2019,regular infra,regular infra - gaa 2019 cssp,48999813.22,0,18080,data/images/19gm0017,6,2019-06-22,2019-12-07,2020-04-24,2020-09-10,2021-01-27,2021-02-26,data/images/19gm0017/19gm0017_road_mask.png,0.0746245086193084,0.1050734966993331,0.0898351445794105,0.2434484362602234,0.2077448070049286,0.0
20ce0056,"network development - construction of by-pass and diversion roads, san jose city bypass road, package 2, nueva ecija",roads,completed,100.0,Region III,Nueva Ecija 1st DEO,15.8022507,120.9740024,2020-05-24,2021-11-14,2020,regular infra,regular infra - gaa 2020 oo-1,9043987.42,0,21921,data/images/20ce0056,6,2020-04-24,2020-10-05,2021-02-17,2021-07-02,2021-11-14,2021-12-14,data/images/20ce0056/20ce0056_road_mask.png,0.1119251698255539,0.0460540950298309,0.1095459014177322,0.0982216447591781,0.0473024174571037,1.0
21m00016,"construction of road slope protection structure demoloc-little baguio  alabel rd  k1673+059  k1673+162, k1673+607-k1673+642, k1674+626  k1674+673, k1674+908-k1674+942, alabel, sarangani",roads,completed,100.0,Region XII,Region XII,6.091212,125.376254,2021-05-31,2023-10-05,2021,regular infra,regular infra - gaa 2021 oo-1,98968415.72,0,22465,data/images/21m00016,6,2021-05-01,2021-12-31,2022-08-02,2023-03-04,2023-10-05,2023-11-04,data/images/21m00016/21m00016_road_mask.png,0.1029962226748466,0.1525220721960067,0.1429406106472015,0.0594238117337226,0.0614270158112049,2.0
20l00086,"construction of concrete road-matanao-kiblawan-padada road, package d, davao del sur",roads,completed,100.0,Region XI,Region XI,6.6444978,125.0840144,2020-03-25,2021-04-29,2020,regular infra,regular infra - gaa 2020 oo-1,178331634.03,0,5143,data/images/20l00086,6,2020-02-24,2020-07-03,2020-10-11,2021-01-19,2021-04-29,2021-05-29,data/images/20l00086/20l00086_road_mask.png,0.0602997541427612,0.0920505598187446,0.0706080943346023,0.0837821885943412,0.0722058787941932,2.0
